epoch,train_loss,train_acc,val_loss,val_acc
1,0.31890869114597636,0.9118,0.10128821024894714,0.9718666666666667
2,0.07111600533723832,0.9794444444444445,0.07415817035635312,0.9786666666666667
3,0.045567356749127305,0.9871111111111112,0.061145013276735945,0.9828666666666667
4,0.031876833418591155,0.9914,0.055475558708111446,0.9850666666666666
5,0.02122125165891937,0.9936222222222222,0.06009516596595446,0.9845333333333334
6,0.016041346575733688,0.9948666666666667,0.05144111814747254,0.9872
7,0.012100957186282095,0.9966222222222222,0.05615934425083299,0.9867333333333334
8,0.00808411992753649,0.9978666666666667,0.05090956283472478,0.988
9,0.0056161955127492546,0.9984888888888889,0.0538589086184899,0.9876666666666667
10,0.004645061080571678,0.9988,0.053515662715273596,0.9886666666666667
11,0.002890726373427444,0.9992888888888889,0.05063776605250314,0.9891333333333333
12,0.0018576296188454662,0.9995555555555555,0.05555872598364949,0.9878
13,0.0015776185030945474,0.9996666666666667,0.054358546158112586,0.9882666666666666
14,0.0009451279110443365,0.9998444444444444,0.05276901498182366,0.9888666666666667
15,0.000706697342870757,0.9999111111111111,0.052949508096138014,0.9889333333333333
16,0.0004812510566055102,0.9999111111111111,0.0527235834841306,0.9886666666666667
17,0.00043106668749048064,0.9999111111111111,0.0535809001465328,0.9888
18,0.00041237623087751366,0.9999333333333333,0.05381917960817615,0.9887333333333334
19,0.00033991767758141374,0.9999777777777777,0.05376049775234423,0.9886
20,0.000330545200045324,0.9999777777777777,0.05479697820933846,0.9887333333333334
